Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Note	Open Position Quantity	Close Position Quantity	Duration	Commission (C)	High Price While Open	Low Price While Open	Exit Efficiency	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Total Efficiency	Account	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
NQH26	Long	2025-12-18  08:39:42.866	2025-12-18  08:52:49.334	25219.00	25233.00	2	8	8	551.60	19153.60	AT_NQ_TM(D-R-2+last50)	8	3	00:13:06	8.40	25253.50	25215.00	4.7%	0.0%	21294.60	22835.00	-555.00	1380.00	-160.00	2.4%	V_sim16	19153.60	-2788.20	21941.80	-3230.60
NQH26	Long	2025-12-18  08:43:02.936	2025-12-18  08:52:49.334	25245.75	25233.00	1	8	6	-259.20	18894.40	AT_NQ_TM(D-R-2+last50)	8	2	00:09:46	4.20	25253.50	25233.00	1.9%	0.0%	21035.40	22820.00	-705.00	155.00	-255.00	-1.1%	V_sim16	19153.60	-2788.20	21941.80	-3230.60
NQH26	Long	2025-12-18  08:43:02.936	2025-12-18  09:17:06.979	25245.75	25250.75	2	5	8	191.60	19086.00	AT_NQ_TM(D-R-2+last50)	8	3	00:34:04	8.40	25253.50	25222.75	7.3%	0.0%	21227.00	23130.00	-1625.00	310.00	-920.00	0.8%	V_sim16	19153.60	-2788.20	21941.80	-3230.60
NQH26	Long	2025-12-18  08:53:20.927	2025-12-18  09:17:06.979	25225.00	25250.75	1	5	3	510.80	19596.80	AT_NQ_TM(D-R-2+last50)	3	2	00:23:46	4.20	25250.75	25222.75	6.4%	12.8%	21737.80	22125.00	-965.00	515.00	-45.00	2.2%	V_sim16	19596.80	-2788.20	22385.00	-3230.60
NQH26	Long	2025-12-18  08:53:50.259	2025-12-18  10:24:49.896	25232.75	25278.50	1	8	4	910.80	20507.60	AT_NQ_TM(D-R-2+last50)	5	7	01:30:59	4.20	25278.50	25232.75	7.8%	9.3%	22648.60	23040.00	-965.00	915.00	0.00	3.8%	V_sim16	20507.60	-2788.20	23295.80	-3230.60
NQH26	Long	2025-12-18  08:53:50.259	2025-12-18  10:26:15.468	25232.75	25297.25	1	8	5	1285.80	21793.40	AT_NQ_TM(D-R-2+last50)	5	6	01:32:25	4.20	25297.25	25232.75	8.9%	9.3%	23934.40	24330.00	-965.00	1290.00	0.00	5.1%	V_sim16	21793.40	-2788.20	24581.60	-3230.60
NQH26	Long	2025-12-18  09:25:25.122	2025-12-18  10:29:46.210	25273.25	25316.50	1	8	3	860.80	22654.20	AT_NQ_TM(D-R-2+last50)	5	5	01:04:21	4.20	25337.75	25257.00	4.6%	0.1%	24795.20	25510.00	-325.00	1290.00	-325.00	3.3%	V_sim16	22654.20	-2788.20	25442.40	-3230.60
NQH26	Long	2025-12-18  09:25:25.122	2025-12-18  10:57:12.362	25273.25	25360.00	2	8	5	3461.60	26115.80	AT_NQ_TM(D-R-2+last50)	5	6	01:31:47	8.40	25384.00	25257.00	14.4%	0.1%	28256.80	29940.00	-975.00	4430.00	-650.00	11.2%	V_sim16	26115.80	-2788.20	28904.00	-3230.60
NQH26	Long	2025-12-18  10:24:05.316	2025-12-18  10:57:12.362	25263.75	25360.00	1	8	6	1920.80	28036.60	AT_NQ_TM(D-R-2+last50)	8	5	00:33:07	4.20	25384.00	25257.00	9.1%	4.0%	30177.60	32345.00	-1110.00	2405.00	-135.00	5.7%	V_sim16	28036.60	-2788.20	30824.80	-3230.60
NQH26	Long	2025-12-18  10:24:05.316	2025-12-18  11:11:51.210	25263.75	25405.25	1	8	7	2825.80	30862.40	AT_NQ_TM(D-R-2+last50)	8	7	00:47:45	4.20	25405.25	25257.00	11.2%	4.0%	33003.40	35175.00	-1245.00	2830.00	-135.00	7.8%	V_sim16	30862.40	-2788.20	33650.60	-3230.60
