--- V_SIM16 Dec 18 Position Math Tracing ---
[OVERLIMIT] 23:42:26 | Side: SELL | Qty: 1 | POS: -99 -> -100 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24975.25 Ask: 24976.00 Last: 24975.25. Text: Tag: AT_NQ_TM
[OVERLIMIT] 23:42:48 | Side: SELL | Qty: 1 | POS: -100 -> -101 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24980.75 Ask: 24981.25 Last: 24981.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 23:42:48 | Side: SELL | Qty: 1 | POS: -101 -> -102 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24980.75 Ask: 24981.25 Last: 24981.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 23:44:02 | Side: SELL | Qty: 1 | POS: -102 -> -103 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24986.50 Ask: 24988.25 Last: 24989.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 23:44:02 | Side: SELL | Qty: 1 | POS: -103 -> -104 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24986.50 Ask: 24988.25 Last: 24989.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 00:02:02 | Side: SELL | Qty: 1 | POS: -104 -> -105 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24980.00 Ask: 24980.50 Last: 24980.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 00:02:02 | Side: SELL | Qty: 1 | POS: -105 -> -106 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24980.00 Ask: 24980.50 Last: 24980.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 00:14:43 | Side: SELL | Qty: 1 | POS: -106 -> -107 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24986.25 Ask: 24987.00 Last: 24987.25. Text: Tag: AT_NQ_TM
[OVERLIMIT] 00:14:43 | Side: SELL | Qty: 1 | POS: -107 -> -108 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24986.25 Ask: 24987.00 Last: 24987.25. Text: Tag: AT_NQ_TM
[OVERLIMIT] 00:24:02 | Side: SELL | Qty: 1 | POS: -108 -> -109 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24982.00 Ask: 24982.75 Last: 24983.00. Fill based on queue
[OVERLIMIT] 00:24:02 | Side: SELL | Qty: 1 | POS: -109 -> -110 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24982.00 Ask: 24982.75 Last: 24983.00. Fill based on queue
[OVERLIMIT] 00:25:10 | Side: SELL | Qty: 1 | POS: -110 -> -111 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24976.25 Ask: 24977.00 Last: 24976.50. Text: Tag: AT_NQ_TM
[OVERLIMIT] 00:25:10 | Side: SELL | Qty: 1 | POS: -111 -> -112 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24976.25 Ask: 24977.00 Last: 24976.50. Text: Tag: AT_NQ_TM
[OVERLIMIT] 00:27:47 | Side: SELL | Qty: 1 | POS: -112 -> -113 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24976.25 Ask: 24976.75 Last: 24976.75. Text: Tag: AT_NQ_TM
