2025-12-18  13:39:41.9 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:40:17.6 | Orders     | Trailing Stop | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:40:38.6 | Orders     | Limit      | Q:1   | S:Open       | ID:36787412   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:40:38.6 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36787412   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:40:38.6 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36787583   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:40:38.6 | Orders     | Trailing Stop | Q:1   | S:Pending Cancel | ID:36787670   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:40:38.9 | Orders     |            | Q:    | S:Unspecified | ID:           | 
2025-12-18  13:43:01.6 | Orders     | Market     | Q:3   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:43:01.9 | Orders     | Stop Limit | Q:3   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:43:01.9 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:43:01.9 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:43:01.9 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:44:35.6 | Orders     | Limit      | Q:1   | S:Open       | ID:36787885   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:44:35.6 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36787885   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:44:35.6 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36787886   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:52:48.1 | Orders     | Market     | Q:3   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:52:48.4 | Orders     | Stop Limit | Q:3   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:52:48.4 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:52:48.4 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:52:48.4 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:53:49.2 | Orders     | Limit      | Q:1   | S:Open       | ID:36788596   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:53:49.2 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36788596   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:53:49.2 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36788597   | AT_NQ_TM(D-R-2+last50)
