ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	PositionQuantity	OrderActionSource	InternalOrderID	OpenClose	IsAutomated	Symbol	ParentInternalOrderID	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username
Positions	2025-12-18  02:18:56.051320	00:00:00.000000				Unspecified	V_sim16								Updated Service Position Quantity to 0			N	NQH26					0.00				
Orders	2025-12-18  02:18:56.181500	2025-12-18  02:18:56.181496	36782527	Limit	1	Open	V_sim16	Sell	25036.75				AT_NQ_TM(D-R-2+last50)		Initiating: Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | Canceling all orders | Source: ACSIL Cancel All Orders | Bar start date-time: 2025-12-18  02:18:00.000	20091358	Close	Y	NQH26					0.00	36782527	20091358.25596	Good till Canceled	shimishon
Orders	2025-12-18  02:18:56.181535	2025-12-18  02:18:56.181528	36782527	Limit	1	Pending Cancel	V_sim16	Sell	25036.75				AT_NQ_TM(D-R-2+last50)		Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | Canceling all orders | Source: ACSIL Cancel All Orders | Bar start date-time: 2025-12-18  02:18:00.000	20091358	Close	Y	NQH26					0.00	36782527	20091358.25596	Good till Canceled	
Orders	2025-12-18  02:18:56.181604	2025-12-18  02:18:56.181602	36782528	Limit	1	Pending Cancel	V_sim16	Sell	25073.25				AT_NQ_TM(D-R-2+last50)		Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | Canceling all orders | Source: ACSIL Cancel All Orders | Bar start date-time: 2025-12-18  02:18:00.000	20091359	Close	Y	NQH26					0.00	36782528	20091359.88060	Good till Canceled	
Orders	2025-12-18  02:18:56.346184	2025-12-18  02:18:56.346176	36782527	Limit	1	Canceled	V_sim16	Sell	25036.75				AT_NQ_TM(D-R-2+last50)		Trading Evaluator (Canceled). Info: Simulated order canceled. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091358	Close	Y	NQH26					0.00	36782527	20091358.25596	Good till Canceled	shimishon
Orders	2025-12-18  02:18:56.427126	2025-12-18  02:18:56.427107	36782528	Limit	1	Canceled	V_sim16	Sell	25073.25				AT_NQ_TM(D-R-2+last50)		Trading Evaluator (Canceled). Info: Simulated order canceled. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091359	Close	Y	NQH26					0.00	36782528	20091359.88060	Good till Canceled	shimishon
Positions	2025-12-18  02:19:04.518958	00:00:00.000000				Unspecified	V_sim16								Removing Position with quantity of 0			N	NQH26					0.00				
Orders	2025-12-18  02:26:26.225851	2025-12-18  02:26:26.225833		Market	3	Order Sent	V_sim16	Buy					AT_NQ_TM(D-R-2+last50)		Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | BuyEntry | AT_NQ_TM(D-R-2+last50) | Bar start date-time: 2025-12-18  02:24:00.000 | Last: 25039.25 | AOE=false | AOU=false	20091480	Open	Y	NQH26					0.00			Good till Canceled	
Orders	2025-12-18  02:26:26.437469	2025-12-18  02:26:26.437462	36782689	Market	3	Pending Open	V_sim16	Buy					AT_NQ_TM(D-R-2+last50)		Trading Evaluator (New). Info: Order from DTC client #32128. Sierra Chart. 93.173.105.113 | Client text: Tag: AT_NQ_TM(D-R-2+last50). Text: Tag: AT_NQ_TM(D-R-2+last50)	20091480	Open	Y	NQH26					0.00		20091480.72570	Good till Canceled	shimishon
Orders	2025-12-18  02:26:26.437581	2025-12-18  02:26:26.437579	36782689	Market	3	Open	V_sim16	Buy					AT_NQ_TM(D-R-2+last50)		Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: AT_NQ_TM(D-R-2+last50)	20091480	Open	Y	NQH26					0.00	36782689	20091480.72570	Good till Canceled	shimishon
