ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	OrderActionSource	InternalOrderID	Symbol	OpenClose	ParentInternalOrderID	PositionQuantity	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username	IsAutomated
Orders	2026-01-20  08:01:44.803144	2026-01-20  08:01:44.803137		Market	3	Order Sent	3Q_sim14	Sell					AutoTrader_	Auto-trade: CLG26 [CBV]  500 Volume #3 | Autotrader V1.3 | SellEntry | AutoTrader_ | Bar start date-time: 2026-01-19  18:20:41.216 | Last: 59.149998 | AOE=false | AOU=false	20484702	CLG26	Open						0.00			Good till Canceled		Y
Orders	2026-01-20  08:01:44.952115	2026-01-20  08:01:44.952113	20528977	Market	3	Pending Open	3Q_sim14	Sell					AutoTrader_	Order update (New). Info: Order from DTC client #3. Sierra Chart. 127.0.0.1 | Client text: Tag: AutoTrader_. Text: Tag: AutoTrader_	20484702	CLG26	Open						0.00		20484702.40000	Good till Canceled	shimishon	Y
Orders	2026-01-20  08:01:45.006879	2026-01-20  08:01:45.006877	20528977	Market	3	Open	3Q_sim14	Sell					AutoTrader_	Order update (Order update). Info: Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	20484702	CLG26	Open						0.00	37553227	20484702.40000	Good till Canceled	shimishon	Y
Orders	2026-01-20  08:01:45.006886	2026-01-20  08:01:45.006885	20528977	Market	3	Filled	3Q_sim14	Sell			59.1399987	3	AutoTrader_	Order update (Filled). Info: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 59.14 Ask: 59.17 Last: 59.15. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	20484702	CLG26	Open			37553227.1			0.00	37553227	20484702.40000	Good till Canceled	shimishon	Y
Positions	2026-01-20  08:01:45.006891	00:00:00.000000			3	Unspecified	3Q_sim14							Updated Internal Position Quantity to -3. Previous: 0. Fill of InternalOrderID: 20484702		CLG26			-3				0.00					N
Fills	2026-01-20  08:01:45.006893	2026-01-20  08:01:45.000000	20528977	Market	3	Filled	3Q_sim14	Sell			59.1399987	3	AutoTrader_	Order update (Filled). Info: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 59.14 Ask: 59.17 Last: 59.15. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	20484702	CLG26	Open		-3	37553227.1			0.00	37553227	20484702.40000	Good till Canceled	shimishon	Y
Positions	2026-01-20  08:01:45.006923	00:00:00.000000				Unspecified	3Q_sim14							Updated Service Position Quantity to -3		CLG26			-3				0.00					N
Orders	2026-01-20  08:01:45.055545	2026-01-20  08:01:45.055541		Stop Limit	3	Order Sent	3Q_sim14	Buy	59.4499987	59.8499987			AutoTrader_	Auto-trade: CLG26 [CBV]  500 Volume #3 | Autotrader V1.3 | BuyEntry | AutoTrader_ | Bar start date-time: 2026-01-19  18:20:41.216 | Last: 59.149998 | Scaling out | AOE=false | AOU=false	20484722	CLG26	Close		-3				0.00			Good till Canceled		Y
Orders	2026-01-20  08:01:45.055874	2026-01-20  08:01:45.055871		Limit	1	Order Sent	3Q_sim14	Buy	58.9399987				AutoTrader_	Auto-trade: CLG26 [CBV]  500 Volume #3 | Autotrader V1.3 | BuyEntry | AutoTrader_ | Bar start date-time: 2026-01-19  18:20:41.216 | Last: 59.149998 | Scaling out | AOE=false | AOU=false	20484723	CLG26	Close		-3				0.00			Good till Canceled		Y
Orders	2026-01-20  08:01:45.056043	2026-01-20  08:01:45.056040		Limit	1	Order Sent	3Q_sim14	Buy	58.5399987				AutoTrader_	Auto-trade: CLG26 [CBV]  500 Volume #3 | Autotrader V1.3 | BuyEntry | AutoTrader_ | Bar start date-time: 2026-01-19  18:20:41.216 | Last: 59.149998 | Scaling out | AOE=false | AOU=false	20484724	CLG26	Close		-3				0.00			Good till Canceled		Y
