Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Duration	Commission (C)	High Price While Open	Low Price While Open	Exit Efficiency	Account	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Note	Total Efficiency	Open Position Quantity	Close Position Quantity	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
CLF26	Long	2025-12-03  08:32:51.000	2025-12-03  08:37:25.000 EP	59.39	59.32	1	4	4	-74.20	-3006.80	00:04:34	4.20	59.41	59.32	57.2%	IPS_TM_5dupli	100.0%	-296.80 F	80.00	-280.00	20.00	-70.00	AutoTrader_	-20.6%	4	0	0.00	-3006.80	236.40	-3006.80
CLF26	Short	2025-12-03  08:37:25.000 BP	2025-12-03  08:39:03.000 EP	59.32	59.16	1	1	1	155.80	-2851.00	00:01:38	4.20	59.32	59.16	97.4%	IPS_TM_5dupli	0.0%	155.80 F	160.00	0.00	160.00	0.00	AutoTrader_	97.4%	1	0	0.00	-3006.80	236.40	-3006.80
CLF26	Long	2025-12-03  08:39:03.000 BP	2025-12-03  08:39:08.000	59.16	59.23	1	2	1	65.80	-2785.20	00:00:05	4.20	59.23	59.15	94.7%	IPS_TM_5dupli	100.0%	65.80	70.00	-10.00	70.00	-10.00	AutoTrader_	82.2%	2	1	0.00	-3006.80	236.40	-3006.80
CLF26	Long	2025-12-03  08:39:03.000	2025-12-03  08:39:13.000 EP	59.16	59.20	1	2	2	35.80	-2749.40	00:00:10	4.20	59.24	59.15	32.8%	IPS_TM_5dupli	100.0%	101.60 F	150.00	-20.00	80.00	-10.00	AutoTrader_	21.1%	2	0	0.00	-3006.80	257.40	-3006.80
CLF26	Short	2025-12-03  08:39:13.000 BP	2025-12-03  08:39:54.000	59.20	59.24	1	6	1	-44.20	-2793.60	00:00:41	4.20	59.24	59.19	-8.4%	IPS_TM_5dupli	0.0%	-44.20	10.00	-40.00	10.00	-40.00	AutoTrader_	-88.4%	1	5	0.00	-3006.80	257.40	-3006.80
CLF26	Short	2025-12-03  08:39:13.000	2025-12-03  08:39:54.000	59.19	59.24	2	6	3	-108.40	-2902.00	00:00:41	8.40	59.24	59.19	21.1%	IPS_TM_5dupli	0.0%	-152.60	10.00	-140.00	0.00	-100.00	AutoTrader_	-72.3%	3	3	0.00	-3006.80	257.40	-3006.80
CLF26	Short	2025-12-03  08:39:13.000	2025-12-03  08:39:56.000	59.19	59.26	2	6	5	-148.40	-3050.40	00:00:43	8.40	59.26	59.19	45.4%	IPS_TM_5dupli	0.0%	-301.00	10.00	-280.00	0.00	-140.00	AutoTrader_	-51.2%	6	1	0.00	-3050.40	257.40	-3050.40
CLF26	Short	2025-12-03  08:39:13.000	2025-12-03  08:47:13.000	59.19	59.39	1	4	6	-204.20	-3254.60	00:08:00	4.20	59.39	59.19	56.3%	IPS_TM_5dupli	0.0%	-505.20	10.00	-480.00	0.00	-200.00	AutoTrader_	-41.7%	6	3	0.00	-3254.60	257.40	-3254.60
CLF26	Short	2025-12-03  08:46:26.000	2025-12-03  08:47:13.000	59.32	59.39	2	4	3	-148.40	-3403.00	00:00:47	8.40	59.39	59.28	67.4%	IPS_TM_5dupli	100.0%	-653.60	80.00	-620.00	80.00	-140.00	AutoTrader_	-21.2%	4	1	0.00	-3403.00	257.40	-3403.00
CLF26	Short	2025-12-03  08:46:26.000	2025-12-03  09:07:29.000 EP	59.32	59.08	1	4	4	235.80	-3167.20	00:21:03	4.20	59.39	59.08	91.7%	IPS_TM_5dupli	100.0%	-417.80 F	320.00	-690.00	240.00	-70.00	AutoTrader_	23.3%	4	0	0.00	-3403.00	257.40	-3403.00
CLF26	Long	2025-12-03  09:07:29.000 BP	2025-12-03  09:11:59.000 EP	59.08	58.99	2	2	2	-188.40	-3355.60	00:04:30	8.40	59.11	58.98	4.5%	IPS_TM_5dupli	100.0%	-188.40 F	60.00	-200.00	60.00	-200.00	AutoTrader_	-72.5%	2	0	0.00	-3403.00	257.40	-3403.00
CLF26	Short	2025-12-03  09:11:59.000 BP	2025-12-03  09:14:24.000 EP	58.99	59.05	1	1	1	-64.20	-3419.80	00:02:25	4.20	59.05	58.99	-7.0%	IPS_TM_5dupli	7.7%	-64.20 F	0.00	-60.00	0.00	-60.00	AutoTrader_	-107.0%	1	0	0.00	-3419.80	257.40	-3419.80
