account_name,symbol,base_symbol,trade_count,first_trade,last_trade
TM_3,ZB,ZB,117,2024-05-27T06:31:52.631353,2024-06-10T17:02:01.041734
TM_3,ZN,ZN,98,2024-05-27T01:37:42.428133,2024-06-30T23:01:36.171937
TM_4,NQ,NQ,3,2024-03-08T14:55:48,2024-03-08T15:01:48
TM_5,CL,CL,12021,2024-05-27T02:32:11.878559,2026-07-17T15:05:15.244292
TM_5,FDAX,FDAX,20011,2024-06-14T10:29:17.135124,2025-04-04T12:17:24.333231
TM_5,NQ,NQ,11868,2024-03-08T15:03:31.703481,2024-07-07T23:59:43.726860
TM_5,ZB,ZB,737,2024-05-27T06:32:44.956194,2024-06-12T20:04:30.049443
TM_5,ZN,ZN,662,2024-05-27T10:55:17.390641,2024-06-12T20:59:07.120682
TM_6,CL,CL,934,2024-05-27T07:01:01.388373,2026-07-12T22:02:03.461566
TM_6,FDAX,FDAX,9829,2024-05-31T08:35:58.183399,2026-07-17T15:15:24.243535
TM_6,NQ,NQ,4641,2024-03-08T15:38:28.345842,2026-07-12T23:46:06.270018
TM_6,ZB,ZB,156,2024-05-27T06:31:52.711711,2024-06-10T17:02:01.041769
TM_6,ZN,ZN,133,2024-05-27T01:37:42.428550,2024-06-30T23:19:04.374544
TM_7,CL,CL,2490,2024-05-27T08:52:06.480551,2025-06-30T20:15:27.750006
TM_7,FDAX,FDAX,16469,2024-05-31T08:18:06.114176,2026-07-17T20:11:20.262634
TM_7,NQ,NQ,12589,2024-03-13T14:43:00.249792,2025-06-30T20:48:05.617918
TM_7,ZB,ZB,730,2024-05-26T21:59:59.370831,2024-06-23T23:17:39.726597
TM_7,ZN,ZN,1219,2024-05-26T21:59:59.526384,2024-06-30T22:34:04.323365
TM_8,CL,CL,11238,2024-05-27T03:35:07.290208,2026-07-17T15:05:15.244786
TM_8,FDAX,FDAX,15192,2024-06-13T07:32:14,2025-04-04T12:17:51.124444
TM_8,NQ,NQ,15586,2024-03-10T21:59:58.992376,2024-08-04T23:59:35.873004
TM_8,ZB,ZB,472,2024-05-28T08:53:35.484705,2024-06-30T22:04:59.559274
TM_8,ZN,ZN,564,2024-05-28T08:57:28.886161,2024-06-12T20:59:57.334093
TM_9,CL,CL,3967,2024-05-31T12:52:24.000803,2026-07-17T18:30:57.506688
TM_9,FDAX,FDAX,6089,2024-05-31T10:26:05.392397,2025-04-04T12:13:57.484435
TM_9,NQ,NQ,3045,2024-03-18T11:21:02.179369,2025-03-30T23:29:45.640790
TM_9,ZB,ZB,37,2024-05-28T13:56:29.669335,2024-06-07T13:24:03.284000
TM_9,ZN,ZN,23,2024-05-31T00:42:31.434879,2024-06-07T20:15:03.760279
TM_D-R-1_1,NQ,NQ,45163,2024-06-02T22:02:30.563156,2026-07-17T19:50:03.207159
TM_D-R-1_2,NQ,NQ,39098,2024-06-18T12:00:03.097936,2026-07-17T19:52:02.114963
TM_U-D-1_1,NQ,NQ,73565,2024-06-02T22:05:02.053458,2026-07-17T19:52:52.060533
TS_1,NQ,NQ,42,2024-03-15T16:31:34.538023,2024-03-28T15:52:49.518609
TS_2,CL,CL,1055,2024-05-27T15:29:13.907599,2025-06-30T18:59:03.281640
TS_2,FDAX,FDAX,5021,2024-05-31T08:18:05.921726,2026-07-17T11:51:54.577782
TS_2,NQ,NQ,5202,2024-03-15T12:41:02.780787,2025-06-30T20:34:00.909783
TS_2,ZB,ZB,157,2024-05-27T10:11:43.272033,2024-06-30T23:55:25.826276
TS_2,ZN,ZN,203,2024-05-27T15:06:13.230753,2024-06-30T22:34:04.323688
TS_3,CL,CL,195,2024-05-27T13:56:12.224763,2024-06-04T07:28:32.459488
TS_3,NQ,NQ,15126,2024-04-25T13:31:46.247947,2026-07-17T19:37:18.240003
TS_4,CL,CL,2551,2024-05-26T22:00:00.322330,2026-07-17T19:39:40.364372
TS_4,FDAX,FDAX,8125,2024-05-31T07:57:26.967664,2025-04-04T15:21:34.012339
TS_4,NQ,NQ,6465,2024-05-08T13:56:13.814828,2026-07-17T19:54:49.086820
TS_4,ZB,ZB,276,2024-05-28T00:23:30.441348,2024-06-30T22:05:29.254597
TS_4,ZN,ZN,262,2024-05-27T06:34:16.204704,2024-06-30T23:55:42.779905
TS_5,CL,CL,13905,2024-05-26T22:00:00.521886,2026-07-17T19:39:40.365540
TS_5,FDAX,FDAX,8064,2024-05-31T07:57:27.051186,2025-04-04T15:21:55.422481
TS_5,NQ,NQ,33371,2024-05-08T16:21:44.949098,2026-07-17T19:54:37.346789
TS_5,ZB,ZB,267,2024-05-28T00:23:30.441170,2024-06-30T22:05:29.161832
TS_5,ZN,ZN,251,2024-05-27T06:34:16.275132,2024-06-30T23:55:42.707539
TS_6,CL,CL,14289,2024-05-26T22:00:00.521724,2026-07-17T19:39:40.364739
TS_6,FDAX,FDAX,8172,2024-05-31T07:57:27.289188,2025-04-04T15:22:17.507396
TS_6,NQ,NQ,32506,2024-05-08T16:11:09.977074,2026-07-17T19:54:49.087222
TS_6,ZB,ZB,267,2024-05-28T00:23:30.362163,2024-06-30T22:02:57.232562
TS_6,ZN,ZN,237,2024-05-27T06:34:16.274701,2024-06-30T23:56:25.856469
TS_7,CL,CL,508,2024-05-29T15:21:45.425270,2026-07-15T19:20:02.173037
TS_7,FDAX,FDAX,167,2024-05-31T18:24:15.073003,2025-04-04T11:15:53.549367
TS_7,NQ,NQ,1644,2024-05-16T16:37:15.495276,2026-07-17T15:18:27.196326
TS_7,ZB,ZB,12,2024-06-05T01:01:25.398527,2024-06-07T18:46:03.350098
TS_7,ZN,ZN,18,2024-05-30T14:03:10.646064,2024-06-06T13:00:01.203220
V500_sim10,CL,CL,6,2024-12-18T09:49:04.936428,2024-12-18T10:14:17.553676
V500_sim10,ES,ES,11943,2024-08-01T09:37:08.196436,2024-12-11T09:33:02.166178
V500_sim10,MES,MES,6,2024-08-16T08:06:32.979384,2024-08-16T08:22:21.630727
V500_sim10,MNQ,MNQ,116,2024-08-05T12:03:08.283409,2024-12-18T10:17:10.063068
V500_sim10,NQ,NQ,17728,2024-01-22T06:46:15,2025-05-27T09:49:50.220397
V500_sim13,ES,ES,383,2024-10-02T09:50:40.797622,2024-10-22T06:47:20.697653
V500_sim13,NQ,NQ,996,2024-01-22T06:46:15,2025-01-13T14:46:02.911170
V500_sim14,ES,ES,385,2024-10-02T09:50:57.964963,2024-10-22T06:47:20.511490
V500_sim14,NQ,NQ,1131,2024-01-22T03:47:44,2024-10-04T09:12:57.968539
V500_sim15,ES,ES,39,2024-10-03T07:40:55.489406,2024-10-22T06:48:05.828546
V500_sim15,NQ,NQ,1818,2024-01-22T00:09:25,2024-10-03T12:04:12.045074
V500_sim16,NQ,NQ,1791,2024-01-22T00:09:25,2024-10-03T12:04:12.117092
V500_sim19,NQ,NQ,1508,2024-01-22T03:47:44,2024-10-04T09:12:57.968317
V500_sim7,NQ,NQ,359,2024-01-22T06:46:15,2024-05-15T16:29:08
V500_sim8,NQ,NQ,850,2024-01-22T03:47:44,2024-02-15T12:08:08
V500_sim9,NQ,NQ,238,2024-01-22T06:46:15,2024-02-14T20:31:52
V_sim16,MNQ,MNQ,3,2024-06-17T19:35:10.430810,2024-06-17T19:50:37.892971
V_sim16,NQ,NQ,39661,2025-04-03T06:05:23.709782,2026-07-17T19:30:05.657686
V_sim7,ES,ES,52,2024-12-17T01:50:19.031446,2024-12-30T18:47:26.819600
V_sim7,NQ,NQ,62,2024-11-05T17:29:34.477107,2024-12-17T12:12:27.270467
ZB-TM_6,CL,CL,4,2024-08-09T15:40:21.961733,2024-08-09T18:05:11.440745
sachin_,NQ,NQ,20,2024-01-25T07:24:51,2024-02-13T20:46:02
