Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Buy Price, Sell Price, Sell Target1 Price, BuyTarget1 Price, Sell StopLoss Price, Buy StopLoss Price, Buy Entry, Sell Entry, ATR, Rotation Buy, Rotation Sell, BuyTarget2 Price, BuyTarget3 Price, Sell Target2 Price, Sell Target3 Price, Poly Regression Buy, Poly Regression Sell, Auto Trader Buy Subgraph, Auto Trader Sell Subgraph, BuyTarget4 Price, BuyTarget5 Price, BuyTarget6 Price, Sell Target4 Price, Sell Target5 Price, Sell Target6 Price, Target 1 Price, Target 2 Price, Target 3 Price, Target 4 Price, Target 5 Price, Target 6 Price, Trades +2 STD, Trades -2 STD, Trades +1 STD, Trades -1 STD, UpDownRatio +2 STD, UpDownRatio -2 STD, UpDownRatio +1 STD, UpDownRatio -1 STD, DeltaRatio +1 STD, DeltaRatio +2 STD, DeltaRatio -1 STD, DeltaRatio -2 STD, Ask Bid Trade Ratio +1 STD, Ask Bid Trade Ratio +2 STD, Ask Bid Trade Ratio -1 STD, Ask Bid Trade Ratio -2 STD
2026-7-23, 09:43:03.022011, 28869.25, 28879.00, 28865.50, 28866.25, 1000, 893, 28870.00, 28870.25, 28872.25, 490, 510, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 21.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-7-23, 09:43:24.788000, 28865.75, 28883.00, 28864.00, 28873.75, 1000, 934, 28871.63, 28873.58, 28873.50, 484, 516, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 21.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-7-23, 09:44:00.064000, 28873.25, 28878.00, 28856.00, 28862.00, 1000, 909, 28867.31, 28865.33, 28867.00, 577, 423, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 21.48, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28879.40, 0.00, 0.00, 28879.80, 0.00, 0.00, 0.00, 28880.00, 0.00
2026-7-23, 09:44:27.253000, 28860.75, 28870.00, 28851.75, 28856.50, 1000, 971, 28859.75, 28859.42, 28860.88, 504, 496, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 21.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-7-23, 09:45:00.473000, 28855.75, 28868.00, 28845.00, 28847.50, 1000, 939, 28854.06, 28853.50, 28856.50, 518, 482, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-7-23, 09:45:14.489003, 28847.50, 28849.00, 28834.00, 28835.25, 1000, 807, 28841.44, 28839.42, 28841.50, 711, 289, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28850.40, 0.00, 0.00, 0.00, 0.00, 0.00, 28850.80, 0.00, 0.00, 0.00, 28851.00
2026-7-23, 09:45:24.362003, 28835.25, 28844.00, 28823.50, 28833.25, 1000, 886, 28834.00, 28833.58, 28833.75, 575, 425, 0.00, 28834.00, 28833.75, 0.00, 28849.25, 0.00, 0.00, 28835.25, 20.15, 0.00, 0.00, 0.00, 0.00, 28833.50, 28809.00, 0.00, 0.00, 0.00, 28835.50, 0.00, 0.00, 0.00, 28834.00, 28834.00, 28834.00, 28815.50, 28796.00, 26881.75, 28835.00, 28835.00, 28835.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28845.40, 0.00, 0.00, 28845.80, 0.00, 0.00, 0.00, 0.00, 0.00
2026-7-23, 09:45:46.354000, 28833.75, 28858.00, 28831.25, 28847.00, 1000, 911, 28842.50, 28845.42, 28844.63, 537, 463, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20.53, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28815.50, 28796.00, 26881.75, 28835.00, 28835.00, 28835.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-7-23, 09:46:04.073005, 28847.00, 28850.25, 28820.50, 28845.25, 1000, 947, 28840.75, 28838.67, 28835.38, 501, 499, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20.67, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-7-23, 09:46:32.351000, 28846.00, 28852.25, 28832.50, 28832.50, 1000, 953, 28840.81, 28839.08, 28842.38, 493, 507, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20.88, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
