=== SECTION 1: BAR SIGNAL LIST (from GraphData) ===
Date,Bar_Time_NY,Direction,Open,High,Low,Close,Entry_Price,Target1_Price,Stop_Loss_Price,Bar_Volume_1000,Bid_Volume,Ask_Volume,Auto_Executed
2026-6-11,11:52:02.007000,SELL,29114.0,29123.25,29078.25,29085.0,29102.75,29102.5,29129.0,1000,548,452,YES
2026-6-11,11:53:42.763000,SELL,29084.0,29106.0,29075.5,29076.5,29078.25,29078.0,29123.5,1000,479,521,YES
2026-6-11,11:55:22.681000,SELL,29076.75,29113.75,29068.5,29099.5,29075.5,29075.25,29106.25,1000,471,529,YES
2026-6-11,12:01:27.372000,SELL,29191.25,29195.5,29147.5,29172.5,29168.0,29167.75,29210.75,1000,487,513,YES
2026-6-11,12:02:33.954001,SELL,29172.75,29175.0,29122.75,29123.5,29147.5,29147.25,29195.75,1000,543,457,YES
2026-6-11,12:04:17.785001,SELL,29123.75,29172.5,29120.25,29171.0,29122.75,29122.5,29175.25,1000,358,642,YES
2026-6-11,12:12:19.738000,BUY,29234.25,29251.0,29227.5,29243.0,29236.5,0.25,29236.25,1000,484,516,YES
2026-6-11,12:12:49.419003,BUY,29243.25,29261.0,29237.25,29248.75,29251.0,0.25,29250.75,1000,444,556,YES
2026-6-11,12:13:55.986000,SELL,29247.5,29259.25,29231.5,29259.25,29237.25,29237.0,29261.25,1000,484,516,YES
2026-6-11,12:15:09.382002,SELL,29259.25,29268.0,29230.5,29241.5,29231.5,29231.25,29259.5,1000,529,471,YES
2026-6-11,12:15:53.082003,SELL,29241.75,29257.5,29227.25,29250.5,29230.5,29230.25,29268.25,1000,519,481,YES
2026-6-11,12:16:57.983000,SELL,29250.25,29250.25,29208.5,29218.75,29227.25,29227.0,29257.75,1000,679,321,YES
2026-6-11,12:21:02.508001,SELL,29222.5,29237.25,29180.75,29186.0,29218.5,29218.25,29250.25,1000,614,386,YES
2026-6-11,12:22:39.788001,SELL,29193.75,29204.25,29172.5,29192.5,29184.5,29184.25,29215.0,1000,490,510,YES
2026-6-11,12:24:01.950001,SELL,29192.25,29192.25,29153.0,29154.25,29172.5,29172.25,29204.5,1000,569,431,YES
2026-6-11,12:25:22.215000,SELL,29155.25,29184.5,29148.5,29149.5,29153.0,29152.75,29192.5,1000,451,549,YES
2026-6-11,12:26:46.570000,SELL,29149.5,29163.5,29135.25,29152.5,29148.5,29148.25,29184.75,1000,451,549,YES
2026-6-11,12:29:19.709056,SELL,29149.25,29157.0,29132.75,29132.75,29138.75,29138.5,29178.0,1000,411,589,YES
2026-6-11,12:30:01.589004,SELL,29132.75,29154.5,29121.25,29126.75,29132.75,29132.5,29157.25,1000,516,484,YES
2026-6-11,12:31:00.605001,SELL,29126.75,29158.25,29119.5,29130.5,29121.25,29121.0,29154.75,1000,430,570,YES
2026-6-11,12:32:07.828000,SELL,29131.0,29156.5,29113.75,29155.75,29119.5,29119.25,29158.5,1000,445,555,YES
2026-6-11,12:34:01.154034,BUY,29198.5,29233.0,29192.25,29231.25,29198.5,0.25,29198.25,1000,367,633,YES
2026-6-11,12:34:14.385006,BUY,29231.5,29261.75,29211.5,29215.5,29233.0,0.25,29232.75,1000,377,623,YES
2026-6-11,12:34:28.953001,SELL,29215.5,29236.5,29208.75,29232.0,29211.5,29211.25,29262.0,1000,477,523,YES
2026-6-11,12:37:56.414001,SELL,29240.25,29240.25,29197.75,29206.25,29233.0,29232.75,29260.5,1000,567,433,YES
2026-6-11,12:39:23.470000,SELL,29205.75,29205.75,29178.0,29184.25,29197.75,29197.5,29240.5,1000,508,492,YES
2026-6-11,12:40:48.032000,SELL,29185.25,29192.75,29158.5,29175.0,29178.0,29177.75,29206.0,1000,492,508,YES
2026-6-11,12:44:23.351001,SELL,29178.0,29195.75,29158.75,29163.25,29165.75,29165.5,29193.0,1000,489,511,YES
2026-6-11,12:45:52.633000,SELL,29161.75,29179.25,29148.5,29170.75,29158.75,29158.5,29196.0,1000,517,483,YES
2026-6-11,12:49:29.426000,SELL,29164.5,29169.75,29129.0,29133.75,29153.75,29153.5,29192.75,1000,551,449,YES
2026-6-11,12:50:51.921000,SELL,29134.5,29158.25,29121.25,29136.75,29129.0,29128.75,29170.0,1000,486,514,YES
2026-6-11,12:52:09.429001,SELL,29136.75,29139.25,29094.0,29114.75,29121.25,29121.0,29158.5,1000,568,432,YES
2026-6-11,12:53:08.955000,SELL,29115.0,29127.25,29092.75,29092.75,29094.0,29093.75,29139.5,1000,499,501,YES
2026-6-11,12:54:56.253000,SELL,29092.75,29103.5,29067.75,29071.75,29092.75,29092.5,29127.5,1000,502,498,YES
2026-6-11,12:59:20.483002,SELL,29077.75,29082.5,29042.75,29060.0,29075.75,29075.5,29100.25,1000,558,442,YES
2026-6-11,13:01:11.172000,SELL,29091.25,29100.5,29050.25,29053.75,29058.75,29058.5,29096.5,1000,517,483,YES
2026-6-11,13:02:27.351001,SELL,29053.75,29071.0,29023.75,29023.75,29050.25,29050.0,29100.75,1000,617,383,YES
2026-6-11,13:03:30.606012,SELL,29023.75,29033.5,29005.75,29030.5,29023.75,29023.5,29071.25,1000,493,507,YES
2026-6-11,13:06:36.035000,SELL,29048.5,29081.5,29034.25,29079.75,29035.25,29035.0,29065.5,1000,464,536,YES
2026-6-11,13:12:12.812000,SELL,29089.75,29090.25,29028.5,29052.5,29069.75,29069.5,29102.25,1000,574,426,YES
2026-6-11,13:14:55.370000,SELL,29040.0,29051.75,29009.5,29034.0,29028.75,29028.5,29058.25,1000,487,513,YES
2026-6-11,13:17:49.261001,SELL,29010.75,29017.25,28990.25,29001.5,29010.75,29010.5,29056.5,1000,515,485,YES
2026-6-11,13:18:42.876003,SELL,29001.5,29002.0,28977.75,28997.25,28990.25,28990.0,29017.5,1000,486,514,YES
2026-6-11,13:19:31.400002,SELL,28997.25,29009.25,28971.25,29007.5,28977.75,28977.5,29002.25,1000,491,509,YES
2026-6-11,13:22:39.762000,SELL,29006.25,29024.0,28983.25,29012.75,28988.25,28988.0,29014.75,1000,465,535,YES
2026-6-11,13:28:49.246001,BUY,29145.75,29225.75,29144.0,29225.75,29149.0,0.25,29148.75,1000,406,594,YES
2026-6-11,13:28:51.697008,BUY,29225.75,29271.25,29218.25,29241.0,29225.75,0.25,29225.5,1000,459,541,YES
2026-6-11,13:28:57.443000,BUY,29242.75,29272.75,29186.75,29254.5,29271.25,0.25,29271.0,1000,540,460,YES
2026-6-11,13:29:26.993000,SELL,29289.0,29300.5,29255.0,29287.0,29269.5,29269.25,29322.75,1000,517,483,YES
2026-6-11,13:29:59.797000,BUY,29383.0,29458.75,29376.5,29458.75,29386.0,0.25,29385.75,1000,313,687,YES
2026-6-11,13:30:03.128031,BUY,29458.75,29476.5,29447.5,29468.5,29458.75,0.25,29458.5,1000,591,409,YES
2026-6-11,13:30:07.627000,SELL,29469.5,29497.25,29444.25,29497.25,29447.5,29447.25,29476.75,1000,601,399,YES
2026-6-11,13:30:19.607000,SELL,29496.75,29506.5,29447.75,29450.5,29471.75,29471.5,29520.5,1000,598,402,YES
2026-6-11,13:30:29.536001,SELL,29450.25,29490.25,29425.5,29489.75,29447.75,29447.5,29506.75,1000,421,579,YES
2026-6-11,13:30:58.759005,SELL,29504.75,29514.0,29406.25,29461.75,29457.5,29457.25,29519.0,1000,502,498,YES
2026-6-11,13:31:15.826000,SELL,29461.75,29465.5,29396.25,29407.75,29406.25,29406.0,29514.25,1000,554,446,YES
2026-6-11,13:31:35.887003,SELL,29407.75,29431.25,29383.0,29420.5,29396.25,29396.0,29465.75,1000,476,524,YES
2026-6-11,13:34:09.013000,SELL,29541.0,29557.75,29499.5,29501.5,29518.75,29518.5,29546.5,1000,473,527,YES
2026-6-11,13:34:36.941000,SELL,29501.25,29503.25,29455.75,29489.5,29499.5,29499.25,29558.0,1000,527,473,YES
2026-6-11,13:35:32.206001,SELL,29472.75,29492.75,29453.25,29464.5,29473.0,29472.75,29515.75,1000,413,587,YES
2026-6-11,13:36:03.529002,SELL,29464.75,29473.5,29437.75,29457.75,29453.25,29453.0,29493.0,1000,474,526,YES
2026-6-11,13:36:36.631004,SELL,29457.75,29465.75,29420.75,29465.25,29437.75,29437.5,29473.75,1000,483,517,YES
2026-6-11,13:39:02.109002,SELL,29462.75,29486.25,29440.5,29457.25,29443.5,29443.25,29484.5,1000,488,512,YES
2026-6-11,13:41:30.889017,SELL,29502.75,29535.75,29485.25,29535.75,29497.25,29497.0,29529.5,1000,476,524,YES
2026-6-11,13:45:01.779000,SELL,29581.75,29592.75,29552.75,29568.75,29565.25,29565.0,29595.25,1000,540,460,YES
2026-6-11,13:45:38.250000,SELL,29569.0,29571.25,29533.25,29547.0,29552.75,29552.5,29593.0,1000,527,473,YES
2026-6-11,13:46:06.900000,SELL,29547.5,29547.5,29505.25,29505.25,29533.25,29533.0,29571.5,1000,611,389,YES
2026-6-11,13:46:39.080003,SELL,29505.25,29521.0,29494.0,29521.0,29505.25,29505.0,29547.75,1000,423,577,YES
2026-6-11,13:48:00.373002,SELL,29497.5,29531.75,29494.75,29502.25,29495.0,29494.75,29539.0,1000,517,483,YES
2026-6-11,13:49:17.694009,SELL,29502.25,29502.25,29475.25,29490.5,29494.75,29494.5,29532.0,1000,595,405,YES
