account,days,total_raw_fills,total_ghosts,ghost_rate_pct,bypass_days,dirty_net,clean_net,pnl_delta,flagged_days,flag_rate_pct
ES-IPS_TM_5,594,367822,4832,1.314,0,-5465787.5,-4111025.0,1354762.5,347,58.4
3Q_sim16,382,6548,384,5.864,23,-89110.0,-1333449.97,-1244339.97,129,33.8
ES-TM_8,564,658510,4379,0.665,7,-12260587.5,-13339662.5,-1079075.0,189,33.5
PB_3,500,89775,649,0.723,0,7083998367.22,7084968611.58,970244.35,120,24.0
ES-IPS_TM_8,574,127885,3939,3.08,1,-3053900.0,-2119675.0,934225.0,397,69.2
3Q_sim13,461,24572,1509,6.141,24,-149995.01,754234.97,904229.98,279,60.5
ES-IPS_TM_11,584,64885,2105,3.244,1,-1416475.0,-736200.0,680275.0,378,64.7
ES-IPS_TM_5dupl,572,55343,707,1.277,1,-827262.5,-329925.0,497337.5,219,38.3
ES-TM_7,573,84360,765,0.907,5,-25162.5,428800.0,453962.5,242,42.2
ES-TS_5,524,64884,859,1.324,2,-6137.5,-414087.5,-407950.0,237,45.2
TM_D-R-1_2,573,59243,202,0.341,0,97700.0,-293430.0,-391130.0,126,22.0
3Q_sim7,405,6288,431,6.854,25,-142529.98,-515759.98,-373229.99,118,29.1
ES_PB_3,600,81079,1643,2.026,1,-1269762.5,-938875.0,330887.5,319,53.2
ES-TS_4,558,61783,812,1.314,2,-49500.0,-360575.0,-311075.0,222,39.8
TM_U-D-1_1,476,115057,1994,1.733,3,-1778390.0,-2076895.0,-298505.0,338,71.0
ES-TM_5,579,708193,4850,0.685,4,-13122975.0,-13419387.5,-296412.5,204,35.2
ES-PB_1,587,58537,821,1.403,1,-707150.0,-422400.0,284750.0,240,40.9
V500_sim16,21,2723,912,33.492,20,-11860.0,208930.0,220790.0,18,85.7
ES_PB_2,600,82608,1546,1.871,1,-1185600.0,-979275.0,206325.0,306,51.0
3Q_sim14,533,78327,1629,2.08,23,-1166459.96,-987409.97,179050.0,265,49.7
V500_sim15,24,2815,900,31.972,20,-26172.5,143982.5,170155.0,19,79.2
ES-IPS_TM_12,539,18585,561,3.019,1,-344037.5,-507800.0,-163762.5,229,42.5
ES-IPS_TM_13,507,8490,103,1.213,1,-29225.0,132900.0,162125.0,59,11.6
B_sim14,90,10627,3297,31.025,90,-107845.0,-268150.0,-160305.0,69,76.7
ES-TS_3,510,19189,311,1.621,4,102800.0,247437.5,144637.5,146,28.6
ES-TS_6,547,68211,861,1.262,1,-27850.0,-165312.5,-137462.5,258,47.2
3Q_sim15,477,19559,657,3.359,16,-288264.99,-163815.0,124449.99,223,46.8
3Q_sim19,402,7472,457,6.116,24,-150129.99,-269299.99,-119170.0,141,35.1
A_sim14,95,20522,6396,31.167,95,-146730.0,-259455.0,-112725.0,72,75.8
V500_sim19,81,2461,764,31.044,79,-9470.0,-115675.0,-106205.0,70,86.4
V500_sim14,24,2405,588,24.449,19,-11595.0,-89970.0,-78375.0,19,79.2
