account,date,total_raw_fills,ghost_fills_dropped,bypass_mode_active,note_coverage_rate,dirty_trades,dirty_net,dirty_wins,clean_trades,clean_net,clean_wins,pnl_delta,pnl_delta_pct,flagged_for_review,flag_reason
TS_7,2024-08-05,4,0,0,1.0,2,-8775.0,0,2,-8775.0,0,0.0,0.0,0,
Tsufim-Prod,2024-08-05,73,10,0,0.644,45,-7175.0,26,37,-15375.0,16,-8200.0,1.1429,1,"delta=-8,200 (114% of dirty_net)"
V500_sim10,2024-08-05,249,2,0,0.831,156,-3174.5,32,160,-3082.5,35,92.0,0.029,0,
ES-IPS_TM_11,2024-08-06,319,10,0,0.862,183,-3950.0,67,192,13712.5,99,17662.5,4.4715,1,"delta=+17,662 (447% of dirty_net)"
ES-IPS_TM_12,2024-08-06,102,6,0,0.863,58,-2537.5,19,58,8150.0,34,10687.5,4.2118,1,"delta=+10,688 (421% of dirty_net)"
ES-IPS_TM_13,2024-08-06,34,0,0,1.0,23,2925.0,17,23,2925.0,17,0.0,0.0,0,
ES-IPS_TM_3,2024-08-06,63,3,0,0.746,37,1425.0,27,34,-2450.0,23,-3875.0,2.7193,1,"delta=-3,875 (272% of dirty_net)"
ES-IPS_TM_5,2024-08-06,1496,20,0,0.773,1438,-5000.0,563,1411,5862.5,625,10862.5,2.1725,1,"delta=+10,862 (217% of dirty_net)"
ES-IPS_TM_5dupl,2024-08-06,274,5,0,0.88,172,1375.0,109,160,-4850.0,86,-6225.0,4.5273,1,"delta=-6,225 (453% of dirty_net)"
ES-IPS_TM_6,2024-08-06,50,1,0,0.86,33,1987.5,24,30,5100.0,23,3112.5,1.566,1,"delta=+3,112 (157% of dirty_net)"
ES-IPS_TM_7,2024-08-06,56,4,0,0.75,34,-2262.5,17,32,-3762.5,12,-1500.0,0.663,1,"delta=-1,500 (66% of dirty_net)"
ES-IPS_TM_8,2024-08-06,772,22,0,0.881,431,-18012.5,169,429,-5325.0,213,12687.5,0.7044,1,"delta=+12,688 (70% of dirty_net)"
ES-PB_1,2024-08-06,259,2,0,0.834,153,-7012.5,79,148,-337.5,79,6675.0,0.9519,1,"delta=+6,675 (95% of dirty_net)"
ES-TM_1,2024-08-06,100,43,1,0.0,56,700.0,28,23,16087.5,14,15387.5,21.9821,1,"delta=+15,388 (2198% of dirty_net)"
ES-TM_10,2024-08-06,38,15,1,0.0,23,-6125.0,14,17,5837.5,6,11962.5,1.9531,1,"delta=+11,962 (195% of dirty_net)"
ES-TM_2,2024-08-06,254,95,1,0.0,156,-3700.0,101,92,90887.5,52,94587.5,25.5642,1,"delta=+94,588 (2556% of dirty_net)"
ES-TM_3,2024-08-06,56,1,0,0.804,33,1262.5,23,32,512.5,23,-750.0,0.5941,1,delta=-750 (59% of dirty_net)
ES-TM_5,2024-08-06,252,0,0,0.714,240,-12000.0,63,240,-12000.0,63,0.0,0.0,0,
ES-TM_6,2024-08-06,43,1,0,0.86,28,-1150.0,17,25,1887.5,16,3037.5,2.6413,1,"delta=+3,038 (264% of dirty_net)"
ES-TM_7,2024-08-06,281,3,0,0.865,170,-7075.0,94,171,-8250.0,77,-1175.0,0.1661,0,
ES-TM_8,2024-08-06,461,1,0,0.666,252,-19825.0,83,252,-19750.0,86,75.0,0.0038,0,
ES-TM_9,2024-08-06,11,5,1,0.0,6,-1725.0,2,4,-1612.5,2,112.5,0.0652,0,
ES-TS_2,2024-08-06,112,6,0,0.812,74,2075.0,52,71,-2512.5,34,-4587.5,2.2108,1,"delta=-4,588 (221% of dirty_net)"
ES-TS_3,2024-08-06,51,4,0,0.725,33,-1350.0,21,30,3037.5,15,4387.5,3.25,1,"delta=+4,388 (325% of dirty_net)"
ES-TS_4,2024-08-06,220,7,0,0.868,143,-8287.5,96,156,-20712.5,91,-12425.0,1.4992,1,"delta=-12,425 (150% of dirty_net)"
ES-TS_5,2024-08-06,248,6,0,0.879,155,-6650.0,83,186,-14700.0,95,-8050.0,1.2105,1,"delta=-8,050 (121% of dirty_net)"
ES-TS_6,2024-08-06,244,8,0,0.865,157,-9637.5,112,177,-24362.5,84,-14725.0,1.5279,1,"delta=-14,725 (153% of dirty_net)"
ES-TS_7,2024-08-06,12,0,0,1.0,8,-300.0,5,8,-300.0,5,0.0,0.0,0,
ES_PB_2,2024-08-06,334,5,0,0.898,196,-6237.5,98,192,-16112.5,79,-9875.0,1.5832,1,"delta=-9,875 (158% of dirty_net)"
ES_PB_3,2024-08-06,311,5,0,0.929,177,-9237.5,79,174,-11437.5,76,-2200.0,0.2382,1,"delta=-2,200 (24% of dirty_net)"
IPSPB1,2024-08-06,17,0,0,0.941,11,4525.0,8,11,4525.0,8,0.0,0.0,0,
IPSTMUD1,2024-08-06,41,0,0,1.0,28,13700.0,22,28,13700.0,22,0.0,0.0,0,
IPS_TM_10,2024-08-06,99,0,0,0.808,87,-24425.0,22,87,-24425.0,22,0.0,0.0,0,
IPS_TM_11,2024-08-06,123,0,0,0.959,78,10075.0,49,78,10075.0,49,0.0,0.0,0,
IPS_TM_12,2024-08-06,26,0,0,1.0,16,-2775.0,8,16,-2775.0,8,0.0,0.0,0,
IPS_TM_13,2024-08-06,17,0,0,0.941,11,4575.0,8,11,4575.0,8,0.0,0.0,0,
IPS_TM_3,2024-08-06,48,0,0,1.0,28,-2675.0,18,28,-2675.0,18,0.0,0.0,0,
IPS_TM_5,2024-08-06,225,0,0,0.893,133,6975.0,76,133,6975.0,76,0.0,0.0,0,
IPS_TM_5dupli,2024-08-06,90,0,0,0.844,78,-16050.0,25,78,-16050.0,25,0.0,0.0,0,
IPS_TM_6,2024-08-06,46,0,0,1.0,28,-15575.0,15,28,-15575.0,15,0.0,0.0,0,
IPS_TM_7,2024-08-06,53,0,0,1.0,31,-5575.0,20,31,-5575.0,20,0.0,0.0,0,
IPS_TM_8,2024-08-06,260,0,0,0.946,159,25925.0,100,159,25925.0,100,0.0,0.0,0,
