
========== Verifying Case: 3Q_sim14 (Jan 19-20) ==========
Parsing BINARY file (Flex-Scan): TradeActivityLog_2026-01-19_UTC.3Q_sim14.data
  Loaded 169 candidate prices from Binary windows (Total Records Searched: 82).
Parsing BINARY file (Flex-Scan): TradeActivityLog_2026-01-20_UTC.3Q_sim14.data
  Loaded 211 candidate prices from Binary windows (Total Records Searched: 92).
Parsing TEXT file: 3q_sim14_01192026_TradesList.txt
  Loaded 6 trades from Text.
  Total Text Trades: 6

  --- Matching Results ---
  Time                 | Price      | Symbol     | Status          | Binary Match
  2025-12-03 16:31:41  | 59.10      | CLF26      | MATCHED         | Bin found @ 59.12
  2025-12-03 16:31:41  | 59.10      | CLF26      | MATCHED         | Bin found @ 59.12
  2025-12-03 18:00:01  | 59.07      | CLF26      | MATCHED         | Bin found @ 59.06
  2025-12-03 18:00:01  | 59.07      | CLF26      | MATCHED         | Bin found @ 59.06
  2025-12-03 18:23:42  | 58.99      | CLF26      | MATCHED         | Bin found @ 58.99
  2025-12-03 18:23:42  | 58.99      | CLF26      | MATCHED         | Bin found @ 58.99
  2025-12-03 20:58:22  | 59.11      | CLF26      | MATCHED         | Bin found @ 59.13
  2025-12-03 20:58:22  | 59.11      | CLF26      | MATCHED         | Bin found @ 59.13
  2025-12-03 22:32:59  | 59.21      | CLF26      | MATCHED         | Bin found @ 59.20
  2025-12-03 22:32:59  | 59.21      | CLF26      | MATCHED         | Bin found @ 59.20
  2025-12-04 00:50:17  | 59.19      | CLF26      | MATCHED         | Bin found @ 59.20
  2025-12-04 00:50:17  | 59.19      | CLF26      | MATCHED         | Bin found @ 59.20
  2025-12-04 01:30:10  | 59.33      | CLF26      | MATCHED         | Bin found @ 59.34
  2025-12-04 01:30:10  | 59.33      | CLF26      | MATCHED         | Bin found @ 59.34
  2025-12-04 02:24:06  | 59.32      | CLF26      | MATCHED         | Bin found @ 59.34
  2025-12-04 02:41:29  | 59.39      | CLF26      | MATCHED         | Bin found @ 59.39
  2025-12-04 03:01:01  | 59.29      | CLF26      | MATCHED         | Bin found @ 59.31
  2025-12-04 03:21:12  | 59.26      | CLF26      | MATCHED         | Bin found @ 59.25
  2025-12-04 03:29:55  | 59.16      | CLF26      | MATCHED         | Bin found @ 59.16
  2025-12-04 03:33:33  | 59.24      | CLF26      | MATCHED         | Bin found @ 59.25
  2025-12-04 03:33:33  | 59.24      | CLF26      | MATCHED         | Bin found @ 59.25
  2025-12-04 04:00:52  | 59.34      | CLF26      | MATCHED         | Bin found @ 59.34
  2025-12-04 04:00:52  | 59.34      | CLF26      | MATCHED         | Bin found @ 59.34
  2025-12-04 04:00:52  | 59.34      | CLF26      | MATCHED         | Bin found @ 59.34
  2025-12-04 04:00:52  | 59.34      | CLF26      | MATCHED         | Bin found @ 59.34
  2025-12-04 04:27:02  | 59.18      | CLF26      | MATCHED         | Bin found @ 59.17
  2025-12-04 04:27:02  | 59.18      | CLF26      | MATCHED         | Bin found @ 59.17
  2025-12-04 04:49:34  | 59.21      | CLF26      | MATCHED         | Bin found @ 59.20
  2025-12-04 05:45:42  | 59.20      | CLF26      | MATCHED         | Bin found @ 59.20
